"Name","Pop","GrowthRate","WorldPop","PopDensity"
"Asia","4671054775","0.0086","0.5954","104.1"
"Africa","1344069847","0.0249","0.1720","44.2"
"Europe","746597026","0.0006","0.0959","33.8"
"Latin America","652065766","0.0083","0.0553","24.1"
"North America","373969647","0.0062","0.0473","14.9"
"Oceania","43677813","0.0131","0.0055","5.0"
